"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNC",458.092739493939,-3.20183523255325,0.451738501110392,-7.08780682780637,1.36253974101919e-12,1.256670403142e-08
"MMP1",275.704239929266,-3.67440326853393,0.528830395952336,-6.94816957697172,3.7005603291073e-12,1.70651339576783e-08
"MT1G",58.9376456668141,1.91560286015582,0.27948385605025,6.85407338809368,7.17762292898439e-12,2.20664054246743e-08
"DCXR",29.5430387219148,1.17074002008789,0.178038948380836,6.57575227631434,4.84077915872627e-11,9.11579281078855e-08
"KRT1",57.5950964005976,3.15593136900891,0.480159254086197,6.57267634050924,4.94188052194977e-11,9.11579281078855e-08
"F3",138.206312257293,-2.90786002893826,0.459054570048101,-6.33445393786967,2.38183311514193e-10,3.661274470159e-07
"SERPINE1",117.621106712205,-2.44579606676335,0.388361371047424,-6.29773259932356,3.0203094654077e-10,3.97947345706503e-07
"TNFRSF12A",78.9800792078141,-1.37246956304186,0.229774649057492,-5.9731113448397,2.32770912749588e-09,2.38538458698827e-06
"BAG4",44.3076807173892,1.03730677953882,0.175934614966851,5.89597891088268,3.72466545983506e-09,3.43525895360587e-06
"ASH2L",26.3770590116298,1.30888031504911,0.223093815840011,5.86695023401167,4.4388383185126e-09,3.7217641646947e-06
"INHBA",92.4162876255112,-2.24337862398247,0.395225750873812,-5.67619548833178,1.37723382373352e-08,9.7709442740725e-06
"RAC3",53.4610380051837,1.15884466315281,0.20396008596636,5.68172276287402,1.33344688192487e-08,9.7709442740725e-06
"CXCL1",93.8688632324842,-2.36859617522978,0.421448053753614,-5.62013788919881,1.90805110964851e-08,1.12965227545303e-05
"DUSP6",87.2363696676331,-1.5436370656387,0.274428504417728,-5.6249151993665,1.85599127135945e-08,1.12965227545303e-05
"PLAU",150.406812346444,-1.96954558772792,0.359921745158595,-5.47214947199166,4.44609576267761e-08,2.15822848521977e-05
"FLNA",383.051008831805,-1.64186493611724,0.302459922047452,-5.42837188148071,5.68704473284513e-08,2.62258067855153e-05
"PHLDA1",47.939929289666,-1.35140432488379,0.250276796258429,-5.39963890015742,6.67751664479879e-08,2.93270171499901e-05
"PMEPA1",55.1643061418268,-1.30171107809977,0.243191975768451,-5.35260702573166,8.66959937997933e-08,3.63453250370679e-05
"SERPINE2",60.7293876344203,-1.74250627045515,0.329077946256105,-5.29511713039271,1.18940147832454e-07,4.76949992808141e-05
"PODXL",29.9135660494793,1.13428909324159,0.215157986665012,5.27188932571491,1.35026497155293e-07,5.18895576359696e-05
"PRSS23",66.0502224983758,-1.51886326533829,0.291429308793038,-5.21177252771419,1.8704481203349e-07,6.80944986017155e-05
"GAGE1",33.4710322071583,1.53085526225881,0.294001821179513,5.20695843351289,1.91961071630121e-07,6.80944986017155e-05
"DDHD2",42.4007351887559,1.23375823064112,0.237919184122558,5.18561895372667,2.15298612677117e-07,7.35444112859648e-05
"LGALS1",157.615866338768,-1.61076048681626,0.312783257092959,-5.14976569330096,2.60812070104191e-07,8.59096329489625e-05
"PLPBP",36.91513210279,1.15939809737546,0.226038764013938,5.129200305236,2.90975604832619e-07,9.25402759783188e-05
"AHCY",59.4965060089087,1.16237189083867,0.227509727638472,5.10910853308985,3.23682388964285e-07,9.63007314005677e-05
"CTSB",344.741036897501,-1.42147834743332,0.280990107019268,-5.05881990833169,4.21859044894318e-07,0.000119906022358568
"DKK3",38.5355362673499,-1.14541736072645,0.226742367615193,-5.05162477032235,4.38067633195693e-07,0.000119906022358568
"THBS1",62.9868022588718,-1.85790451455351,0.36790868082159,-5.04990670620916,4.42025887476019e-07,0.000119906022358568
"PDLIM7",69.7815392885827,-1.24177724644523,0.252790614121142,-4.91227591958831,9.00252424904763e-07,0.000218500739865701
"FBXO32",48.2170373821355,-1.08950052051672,0.222331658378322,-4.90033910808516,9.56713784120996e-07,0.000220594280773699
"KRT15",570.994053915417,-2.87978684200476,0.587257042344068,-4.90379277617504,9.40036588053271e-07,0.000220594280773699
"FHL2",90.2463520917452,-1.08923260111676,0.224296041327043,-4.8562274869959,1.19643244528709e-06,0.000269138937631288
"MMP10",92.8471127522617,-2.30789950758579,0.482184708677494,-4.78633906478651,1.69851017549745e-06,0.000356030894286659
"ALDOC",32.1198612097352,1.03261518782168,0.216469742175951,4.77025184878888,1.8399572755051e-06,0.000368911433738772
"NSD3",49.1083639040326,1.15055384356918,0.242562876876402,4.74332205482311,2.10241625684863e-06,0.000412565641210956
"CPT1A",34.7760721719617,1.21149902594773,0.257769077304128,4.69993933569599,2.6023878600441e-06,0.000480036464663735
"GLTP",77.4114653243694,1.39239438282793,0.29961604657399,4.64726238380588,3.36369206226335e-06,0.00058534588472179
"ITGB1",146.924263617962,-1.24072641885301,0.268128252567734,-4.62736174562426,3.7035330212949e-06,0.000632549723248201
"MMP13",108.973727200717,-1.99048653041688,0.434513900238073,-4.58095018209149,4.62868103750715e-06,0.00075849786772738
"TINAGL1",65.2162247636899,-1.39691836634348,0.306522513674829,-4.55731081412633,5.18127233787917e-06,0.000809947030038299
"LAMB3",170.310322227631,-1.64308814670979,0.364671255604544,-4.50566948027178,6.61640060044997e-06,0.000952202943500942
"JUN",65.1993392998944,-1.25803609594736,0.279887346460785,-4.49479446589996,6.96371765515598e-06,0.000973126786871266
"SPTBN2",41.2383946789563,1.00914577940479,0.224879032455951,4.4875049860527,7.20621261110315e-06,0.000991983565853796
"SERINC2",98.7668643983688,-1.23444207357477,0.276601978546969,-4.46288229773149,8.0864477240168e-06,0.00107296252670803
"GAGE10",55.009306899455,1.40283931328486,0.314440914792129,4.46137651715028,8.14348659542036e-06,0.00107296252670803
"B4GALT1",100.989188698397,-1.01866799749007,0.230325017791551,-4.42274142538865,9.74563520978495e-06,0.00119845324719795
"TGM3",30.7780774344876,1.20851483944632,0.273645344460697,4.41635446723231,1.00379428480081e-05,0.00121815719588394
"LSM1",38.652958828372,1.03127488469757,0.234701261396821,4.3939895276231,1.1128917917048e-05,0.0012872626651177
